"source_path","target_path","http_status","reason"
"/catalogsearch/result/?q=inteligentne-zariadenia+tlakomery-a-teplomery+bezkontaktne-teplomery+truelife-care-q7-bezdotykovy-zdravotni-teplomer-rozbaleno","/vyhladavanie?q=inteligentne-zariadenia%20tlakomery-a-teplomery%20bezkontaktne-teplomery%20truelife-care-q7-bezdotykovy-zdravotni-teplomer-rozbaleno","301","legacy-search"
"/catalogsearch/result/?q=inteligentne-zariadenia+tlakomery-a-teplomery+tlakomery-na-rameno+braun-activscan-9-bua7200-tlakomer-na-pazi","/vyhladavanie?q=inteligentne-zariadenia%20tlakomery-a-teplomery%20tlakomery-na-rameno%20braun-activscan-9-bua7200-tlakomer-na-pazi","301","legacy-search"
"/catalogsearch/result/?q=inteligentne-zariadenia+tlakomery-a-teplomery+tlakomery-na-rameno+braun-icheck-7-bpw4500-tlakomer-na-zapesti","/vyhladavanie?q=inteligentne-zariadenia%20tlakomery-a-teplomery%20tlakomery-na-rameno%20braun-icheck-7-bpw4500-tlakomer-na-zapesti","301","legacy-search"
"/catalogsearch/result/?q=inteligentne-zariadenia+tlakomery-a-teplomery+tlakomery-na-rameno+ihealth-clear-bpm1-chytry-tlakomer","/vyhladavanie?q=inteligentne-zariadenia%20tlakomery-a-teplomery%20tlakomery-na-rameno%20ihealth-clear-bpm1-chytry-tlakomer","301","legacy-search"
"/catalogsearch/result/?q=inteligentne-zariadenia+withings-sleep-analyzer","/vyhladavanie?q=inteligentne-zariadenia%20withings-sleep-analyzer","301","legacy-search"
"/catalogsearch/result/?q=inteligentne-zariadenia+yeelight-smart-filament-bulb-st64","/vyhladavanie?q=inteligentne-zariadenia%20yeelight-smart-filament-bulb-st64","301","legacy-search"
"/catalogsearch/result/?q=interier","/vyhladavanie?q=interier","301","legacy-search"
"/catalogsearch/result/?q=ipl+epilatory","/vyhladavanie?q=ipl%20epilatory","301","legacy-search"
"/catalogsearch/result/?q=jednodverove+chladnicky","/vyhladavanie?q=jednodverove%20chladnicky","301","legacy-search"
"/catalogsearch/result/?q=jednorazove+grily","/vyhladavanie?q=jednorazove%20grily","301","legacy-search"
"/catalogsearch/result/?q=kabaty","/vyhladavanie?q=kabaty","301","legacy-search"
"/catalogsearch/result/?q=kancelarska-technika+gigaset-a120-black","/vyhladavanie?q=kancelarska-technika%20gigaset-a120-black","301","legacy-search"
"/catalogsearch/result/?q=kancelarska-technika+rezacky-papiera+pakove","/vyhladavanie?q=kancelarska-technika%20rezacky-papiera%20pakove","301","legacy-search"
"/catalogsearch/result/?q=kavovary","/vyhladavanie?q=kavovary","301","legacy-search"
"/catalogsearch/result/?q=klimatizacie","/vyhladavanie?q=klimatizacie","301","legacy-search"
"/catalogsearch/result/?q=klzacky","/vyhladavanie?q=klzacky","301","legacy-search"
"/catalogsearch/result/?q=kolobezky","/vyhladavanie?q=kolobezky","301","legacy-search"
"/catalogsearch/result/?q=kombinovane+chladnicky","/vyhladavanie?q=kombinovane%20chladnicky","301","legacy-search"
